,id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree
199,200,167,60.0,0.0,0.5,0.5,10.6379,5.3184,14.1862,89.9999,89.9995,120.0005
200,201,12,80.0,0.0938,0.625,0.2812,24.75,6.2998,6.1459,90.0001,104.4779,90.0001
201,202,12,80.0,0.0,0.4688,0.5312,24.7815,6.4664,6.4217,90.0003,105.0881,90.0
202,203,227,40.0,0.25,0.4375,0.3125,6.0841,6.0842,14.805,90.0097,89.9857,119.9987
203,204,33,80.0,0.4062,0.375,0.2188,10.2972,8.822000000000003,9.4466,90.0014,90.0013,90.0009
204,205,12,80.0,0.2188,0.3438,0.4375,24.5788,6.3517,6.2809,90.0,104.9269,90.0001
205,206,167,30.0,0.0,0.25,0.75,5.4486,5.4481,14.4666,89.9988,89.9993,120.0009
206,207,194,80.0,0.0,0.375,0.625,6.8456,6.8451,24.9031,90.0023,89.9926,119.9868
207,208,227,40.0,0.3125,0.375,0.3125,10.3492,5.9826,14.4464,83.7426,82.7531,30.6289
208,209,194,10.0,0.5,0.25,0.25,3.2038,3.2037,12.022,90.0147,90.007,119.9966
209,210,206,80.0,0.5,0.25,0.25,9.4158,9.4154,9.4155,90.0026,90.0031,89.9976
210,211,227,40.0,0.8125,0.1875,0.0,9.9225,5.7147,13.9423,90.6129,90.7051,29.754
211,212,12,80.0,0.3125,0.0,0.6875,24.4154,6.465,6.5191,90.0,105.5676,90.0001
212,213,33,80.0,0.3125,0.1875,0.5,10.6529,9.0954,9.721,90.0015,89.9996,90.0004
213,214,194,80.0,0.0625,0.0312,0.9062,7.0324,7.0318,25.2183,90.0187,89.9852,119.985
214,215,33,80.0,0.6875,0.2188,0.0938,10.027,8.605,9.2332,90.0036,90.0021,90.0012
215,216,206,80.0,0.0,0.25,0.75,10.0687,10.0687,10.0687,90.0016,90.0015,89.9977
216,217,227,40.0,0.4375,0.5625,0.0,9.9758,5.7765,14.2297,90.7296,90.8478,30.2926
217,218,33,80.0,0.1875,0.0938,0.7188,10.954,9.3288,9.9543,90.001,89.99799999999998,90.0003
218,219,194,80.0,0.9375,0.0312,0.0312,6.1149,6.1145,23.4343,90.0072,90.0037,120.0055
219,220,33,40.0,0.375,0.625,0.0,5.0346,8.651,9.2729,90.0002,90.0021,90.0019
220,221,194,80.0,0.0,0.9688,0.0312,6.4085,6.4086,24.1392,89.9963,90.0085,119.9937
221,222,33,80.0,0.2188,0.4062,0.375,10.5581,9.0279,9.6507,90.0001,90.0002,90.0005
222,223,194,80.0,0.7812,0.125,0.0938,6.2067,6.2064,23.6318,90.0128,90.0053,120.0024
223,224,167,30.0,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007
224,225,167,30.0,0.8333,0.1667,0.0,4.8534,4.8532,13.2099,89.9864,90.0145,120.0016
225,226,227,40.0,0.5625,0.125,0.3125,6.0121,6.0104,14.6902,90.0677,88.1058,120.0397
226,227,227,40.0,0.625,0.25,0.125,10.115,5.8292,14.202,91.7648,92.0178,29.8231
227,228,227,40.0,0.5,0.1875,0.3125,6.0155,6.0156,14.6554,90.0062,89.9889,119.9989
228,229,206,80.0,0.375,0.25,0.375,9.579,9.5787,9.5788,90.0023,90.0026,89.9976
229,230,206,80.0,0.5,0.2188,0.2812,9.4435,9.4431,9.4433,90.0024,90.0029,89.9978
230,231,33,80.0,0.0625,0.4688,0.4688,10.7352,9.1688,9.7899,89.9989,89.9992,90.0002
231,232,12,80.0,0.5312,0.4688,0.0,24.3695,6.018,5.7684,89.9995,103.8469,90.0002
232,233,33,80.0,0.9062,0.0625,0.0312,9.8554,8.4654,9.0967,90.0054,90.0023,90.0013
233,234,206,80.0,0.7812,0.0,0.2188,9.2703,9.2696,9.27,90.0017,90.0027,89.9993
234,235,167,30.0,0.8333,0.0833,0.0833,4.8966,4.8964,13.3033,89.9868,90.0141,120.0017
235,236,227,40.0,0.875,0.0,0.125,5.8346,5.8337,14.2095,90.0967,89.1697,120.054
236,237,12,80.0,0.1875,0.8125,0.0,24.7268,6.1157,5.8388,89.9999,103.7248,90.0001
237,238,206,80.0,0.4375,0.375,0.1875,9.3866,9.3863,9.3862,90.0033,90.0035,89.9967
238,239,12,20.0,0.25,0.0,0.75,12.2319,3.2589,6.5962,90.0,105.6922,90.0001
239,240,33,80.0,0.8438,0.125,0.0312,9.8847,8.4903,9.1205,90.0048,90.0023,90.0013
240,241,33,80.0,0.4688,0.1562,0.375,10.4412,8.9282,9.5553,90.0026,90.0006,90.0006
241,242,12,80.0,0.0,0.1562,0.8438,24.699,6.6413,6.7435,90.0003,105.8246,90.0
242,243,206,80.0,0.7812,0.2188,0.0,9.0763,9.0757,9.0759,90.0033,90.00399999999998,89.9978
243,244,167,30.0,0.9167,0.0833,0.0,4.8328,4.8326,13.1683,89.9848,90.016,120.0018
244,245,227,40.0,0.25,0.75,0.0,10.1771,5.8596,14.2909,90.9202,91.0582,29.7242
245,246,33,80.0,0.7188,0.0938,0.1875,10.1164,8.6712,9.3008,90.0043,90.0018,90.001
246,247,227,40.0,0.25,0.4375,0.3125,6.0947,6.0937,14.3561,90.0173,90.0041,120.0027
247,248,12,20.0,0.375,0.0,0.625,12.1835,3.2061,6.4421,89.9999,105.4406,90.0001
248,249,167,30.0,0.1667,0.0,0.8333,5.4505,5.4501,14.4769,89.9963,90.0017,120.0013
249,250,206,80.0,0.5312,0.3125,0.1562,9.3196,9.3192,9.3192,90.0032,90.0035,89.9971
250,251,33,40.0,0.125,0.875,0.0,5.093,8.7506,9.3683,89.9976,90.0019,90.00200000000002
251,252,206,80.0,0.0,0.3438,0.6562,9.9855,9.9855,9.9855,90.0022,90.0019,89.99700000000001
252,253,206,80.0,0.4688,0.0,0.5312,9.6783,9.6779,9.6782,90.001,90.0017,89.9993
253,254,194,80.0,0.3438,0.1875,0.4688,6.6185,6.6181,24.443,90.0139,90.0059,119.9919
254,255,227,40.0,0.125,0.5625,0.3125,6.1219,6.1194,15.0176,90.0324,88.1752,120.0119
255,256,12,20.0,0.625,0.375,0.0,12.1361,2.9957,5.7492,89.9994,103.8806,90.0002
256,257,206,80.0,0.0,0.3125,0.6875,10.0132,10.0133,10.0133,90.00200000000002,90.0018,89.9973
257,258,12,20.0,0.25,0.5,0.25,12.2979,3.1189,6.082000000000002,89.9999,104.4479,90.0001
258,259,227,40.0,0.0625,0.25,0.6875,6.3718,6.3701,15.1612,90.0094,89.9993,119.9996
259,260,33,80.0,0.6562,0.0625,0.2812,10.2496,8.7748,9.4042,90.00399999999998,90.0014,90.0008
260,261,206,80.0,0.4062,0.5938,0.0,9.2335,9.2331,9.2329,90.0048,90.0047,89.9952
261,262,12,80.0,0.0,0.8438,0.1562,24.8804,6.2565,6.037000000000001,90.0002,104.1052,90.0001
262,263,33,80.0,0.375,0.625,0.0,10.0691,8.651,9.2729,90.0002,90.0021,90.0019
263,264,194,80.0,0.3438,0.0625,0.5938,6.711,6.7105,24.6039,90.0168,90.0059,119.9904
264,265,12,20.0,0.0,0.75,0.25,12.4279,3.1545,6.1331,90.0002,104.362,90.0001
265,266,33,80.0,0.6875,0.125,0.1875,10.131,8.6837,9.3127,90.00399999999998,90.0017,90.001
266,267,194,10.0,0.75,0.0,0.25,3.1660000000000004,3.1658,11.9281,90.0118,90.0139,119.9992
267,268,12,80.0,0.6875,0.3125,0.0,24.2072,5.9735,5.7364,89.9993,103.9031,90.0002
268,269,167,30.0,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007
269,270,167,60.0,0.6667,0.0833,0.25,10.0485,5.024,13.5733,89.9901,90.0106,120.0015
270,271,227,40.0,0.625,0.375,0.0,5.7912,5.7904,13.7829,90.0162,89.9997,120.0035
271,272,194,80.0,0.4375,0.0625,0.5,6.6122,6.6118,24.4127,90.0163,90.0096,119.9924
272,273,194,80.0,0.8125,0.0625,0.125,6.2208,6.2204,23.6485,90.0111,90.0082,120.0022
273,274,227,40.0,0.25,0.4375,0.3125,10.3702,6.0082,14.8015,91.0079,91.1711,30.3428
274,275,194,80.0,0.375,0.4062,0.2188,6.4237,6.4235,24.0978,90.0129,90.0044,119.9957
275,276,167,30.0,0.0,0.5,0.5,5.319,5.3184,14.1862,89.9999,89.9995,120.0005
276,277,206,80.0,0.0938,0.0938,0.8125,10.0848,10.0847,10.085,90.0009,90.001,89.9987
277,278,194,80.0,0.0,0.9062,0.0938,6.4545,6.4545,24.2195,89.9954,90.0074,119.9928
278,279,167,30.0,0.6667,0.1667,0.1667,4.9811,4.9808,13.4799,89.99,90.0109,120.0014
279,280,12,80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001
280,281,12,80.0,0.5625,0.4375,0.0,24.337,6.0091,5.7620000000000005,89.9995,103.8581,90.0002
281,282,167,60.0,0.1667,0.8333,0.0,10.037,5.018,13.5425,89.9979,90.0034,120.0001
282,283,33,80.0,0.9688,0.0312,0.0,9.7916,8.4142,9.0463,90.0058,90.0024,90.0013
283,284,227,40.0,0.125,0.5625,0.3125,6.1219,6.1194,15.0176,90.0324,88.1752,120.0119
284,285,12,20.0,0.125,0.625,0.25,12.3629,3.1367,6.1075,90.0001,104.4048,90.0001
285,286,12,80.0,0.0625,0.0312,0.9062,24.6176,6.6585,6.7954,90.0003,105.9838,90.0
286,287,33,80.0,0.5312,0.375,0.0938,10.1001,8.6673,9.2928,90.0021,90.0019,90.0013
287,288,167,30.0,0.75,0.25,0.0,4.8741,4.8738,13.2515,89.9879,90.0131,120.0014
288,289,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978
289,290,227,40.0,0.75,0.25,0.0,9.8735,5.6914,13.9587,92.5185,92.2888,30.1492
290,291,194,80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065
291,292,227,40.0,0.5625,0.4375,0.0,5.8083,5.8074,13.8157,90.0171,89.9995,120.0037
292,293,194,80.0,0.9062,0.0938,0.0,6.1007,6.1003,23.4176,90.0099,90.0003,120.0058
293,294,227,40.0,0.4375,0.25,0.3125,10.2905,5.961,14.6799,90.9458,91.0978,30.3261
294,295,227,40.0,0.875,0.0625,0.0625,5.7404,5.7402,14.044,89.9998,90.0016,119.9967
295,296,12,20.0,0.125,0.5,0.375,12.3464,3.1717,6.2358,90.0001,104.735,90.0001
296,297,167,30.0,0.25,0.1667,0.5833,5.3002,5.2998,14.155,89.9962,90.0031,120.0011
297,298,33,80.0,0.6562,0.125,0.2188,10.1803,8.7224,9.3511,90.0038,90.0016,90.0009
298,299,167,30.0,0.4167,0.5,0.0833,4.9998,4.9994,13.5112,89.994,90.0072,120.0008
299,300,12,80.0,0.5,0.25,0.25,24.336,6.1668,6.0310000000000015,89.9996,104.5348,90.0002
300,301,206,80.0,0.4375,0.5625,0.0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954
301,302,206,80.0,0.0,0.5,0.5,9.847,9.847,9.8468,90.0031,90.0027,89.99600000000002
302,303,33,40.0,0.0,0.8125,0.1875,5.2262,8.9578,9.5751,89.9972,90.0008,90.001
303,304,227,40.0,0.375,0.625,0.0,10.0809,5.7825,14.3189,94.6468,93.8361,30.105
304,305,194,80.0,0.125,0.4375,0.4375,6.666,6.6657,24.5675,90.0047,90.0006,119.99
305,306,206,80.0,0.0312,0.0312,0.9375,10.2218,10.2218,10.2221,90.0006,90.0006,89.9992
306,307,12,80.0,0.2812,0.2812,0.4375,24.5138,6.3339,6.2682,89.9999,104.9481,90.0001
307,308,227,40.0,0.25,0.625,0.125,10.1813,5.8975,14.5314,90.882,91.0255,30.3233
308,309,167,60.0,0.7083,0.0417,0.25,10.0279,5.0137,13.5526,89.9895,90.0112,120.0016
309,310,227,40.0,0.5,0.1875,0.3125,10.264,5.9453,14.6393,90.9248,91.0731,30.3205
310,311,206,80.0,0.5,0.2188,0.2812,9.4435,9.4431,9.4433,90.0024,90.0029,89.9978
311,312,227,40.0,0.375,0.3125,0.3125,6.0591,6.0571,14.8305,90.052,88.1362,120.0277
312,313,206,80.0,0.2188,0.0625,0.7188,9.9493,9.9491,9.9494,90.0009,90.0012,89.9989
313,314,12,80.0,0.375,0.3125,0.3125,24.4494,6.2373,6.1206,89.9998,104.6574,90.0001
314,315,12,20.0,0.625,0.0,0.375,12.0865,3.1006,6.134,89.9995,104.9066,90.0002
315,316,194,80.0,0.3125,0.3438,0.3438,6.5360000000000005,6.5357,24.3056,90.0114,90.0047,119.9932
316,317,33,80.0,0.125,0.0625,0.8125,11.0873,9.4324,10.0577,90.0006,89.9971,90.0003
317,318,167,60.0,0.8333,0.1667,0.0,9.7069,4.8532,13.2099,89.9864,90.0145,120.0016
318,319,227,40.0,0.0625,0.625,0.3125,10.0761,5.935,14.7732,95.9464,97.0102,31.9055
319,320,167,30.0,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005
320,321,206,80.0,0.0,0.8125,0.1875,9.5699,9.5699,9.5695,90.005,90.0043,89.9938
321,322,167,60.0,0.4167,0.0,0.5833,10.5179,5.2586,14.0718,89.9939,90.0057,120.0015
322,323,206,80.0,0.375,0.625,0.0,9.2466,9.2463,9.246,90.0049,90.0047,89.995
323,324,227,40.0,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197
324,325,33,40.0,0.3125,0.6875,0.0,5.0492,8.6759,9.2968,89.9995,90.0021,90.0019
325,326,206,80.0,0.0,0.1875,0.8125,10.1241,10.1241,10.1242,90.0013,90.0012,89.9981
326,327,167,60.0,0.5833,0.0833,0.3333,10.1762,5.0878,13.7084,89.9916,90.0089,120.0015
327,328,167,30.0,0.8333,0.1667,0.0,4.8534,4.8532,13.2099,89.9864,90.0145,120.0016
328,329,167,30.0,0.6667,0.25,0.0833,4.9379,4.9376,13.3865,89.9897,90.0113,120.0013
329,330,12,80.0,0.0312,0.5,0.4688,24.7655,6.4225,6.3512,90.0002,104.9427,90.0001
330,331,206,80.0,0.4688,0.2812,0.25,9.4289,9.4286,9.4286,90.0028,90.0031,89.9973
331,332,167,30.0,0.4167,0.1667,0.4167,5.1726,5.1722,13.8849,89.9941,90.006,120.0012
332,333,206,80.0,0.4062,0.5938,0.0,9.2335,9.2331,9.2329,90.0048,90.0047,89.9952
333,334,194,80.0,0.75,0.0625,0.1875,6.2856,6.2852,23.7758,90.0123,90.0104,120.0003
334,335,12,80.0,0.2188,0.25,0.5312,24.5541,6.4042,6.3773,90.0,105.1611,90.0001
335,336,206,80.0,0.3125,0.1562,0.5312,9.7438,9.7435,9.7437,90.0016,90.00200000000002,89.9982
336,337,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.2879999999999985,89.9997,105.179,90.0001
337,338,12,20.0,0.5,0.5,0.0,12.201,3.0134,5.7748,89.9995,103.8357,90.0002
338,339,33,40.0,0.0,0.875,0.125,5.1916,8.9053,9.5221,89.9969,90.0011,90.0013
339,340,206,80.0,0.4062,0.0,0.5938,9.7599,9.7596,9.7599,90.0009,90.0015,89.9993
340,341,206,80.0,0.4375,0.2812,0.2812,9.4697,9.4694,9.4695,90.0027,90.00299999999999,89.9974
341,342,33,40.0,0.0,0.5,0.5,5.3995,9.22,9.8402,89.9983,89.9989,90.0001
342,343,167,60.0,0.0,0.9583,0.0417,10.1627,5.0808,13.6723,90.0007,90.0005,119.9998
343,344,33,80.0,0.125,0.0,0.875,11.1566,9.4849,10.1107,90.0008,89.9967,90.0004
344,345,206,80.0,0.4688,0.5312,0.0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956
345,346,194,80.0,0.9062,0.0312,0.0625,6.1471,6.1467,23.4979,90.0081,90.0057,120.0045
346,347,167,30.0,0.25,0.5,0.25,5.1274,5.127000000000002,13.7812,89.9968,90.0039,120.0006
347,348,12,80.0,0.2188,0.4375,0.3438,24.6036,6.2992,6.1846,90.0,104.6857,90.0001
348,349,194,80.0,0.4062,0.3125,0.2812,6.46,6.4598,24.1547,90.0135,90.0059,119.9951
349,350,194,80.0,0.5625,0.0,0.4375,6.5274,6.527,24.2382,90.0158,90.0139,119.9944
350,351,12,80.0,0.2812,0.5,0.2188,24.5716,6.2115,6.0436,89.9999,104.3742,90.0001
351,352,33,80.0,0.4688,0.1875,0.3438,10.4066,8.902000000000003,9.5287,90.0025,90.0008,90.0007
352,353,33,80.0,0.0312,0.0312,0.9375,11.2697,9.5747,10.1995,90.0001,89.9959,90.0003
353,354,206,80.0,0.0,0.25,0.75,10.0687,10.0687,10.0687,90.0016,90.0015,89.9977
354,355,12,80.0,0.375,0.4688,0.1562,24.4906,6.1499,5.9604,89.9997,104.2355,90.0001
355,356,206,80.0,0.25,0.75,0.0,9.2989,9.2987,9.2984,90.0054,90.0049,89.9941
356,357,33,40.0,0.1875,0.0,0.8125,5.529,9.4075,10.0338,90.0013,89.9973,90.0004
357,358,12,20.0,0.75,0.0,0.25,12.0381,3.0478,5.9801,89.9993,104.6228,90.0002
358,359,33,80.0,0.5,0.4062,0.0938,10.1147,8.6798,9.3047,90.0018,90.0019,90.0014
359,360,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011
360,361,194,80.0,0.6875,0.125,0.1875,6.3042,6.3038,23.8227,90.0138,90.0088,119.9996
361,362,167,30.0,0.0833,0.8333,0.0833,5.0823,5.0818,13.6775,89.9994,90.0017,120.0001
362,363,33,80.0,0.3125,0.25,0.4375,10.5836,9.043,9.6679,90.0013,90.0,90.0005
363,364,167,30.0,0.6667,0.25,0.0833,4.9379,4.9376,13.3865,89.9897,90.0113,120.0013
364,365,33,40.0,0.125,0.125,0.75,5.509,9.38,10.0046,90.0004,89.9976,90.0002
365,366,194,80.0,0.7812,0.1562,0.0625,6.1835,6.1832,23.5917,90.0135,90.0032,120.0031
366,367,12,80.0,0.5,0.0,0.5,24.27,6.3067,6.2879999999999985,89.9997,105.179,90.0001
367,368,12,80.0,0.4062,0.4375,0.1562,24.4582,6.141,5.954,89.9997,104.2464,90.0002
368,369,12,80.0,0.0,0.9688,0.0312,24.9134,6.1865,5.9092,90.0001,103.7502,90.0001
369,370,206,80.0,0.2188,0.0,0.7812,10.0047,10.0045,10.0049,90.0006,90.0009,89.9993
370,371,194,80.0,0.4375,0.1562,0.4062,6.5428,6.5424,24.292,90.0148,90.0085,119.9936
371,372,12,80.0,0.1562,0.5,0.3438,24.6685,6.317,6.1973,90.0,104.6643,90.0001
372,373,194,80.0,0.0,0.9375,0.0625,6.4315,6.4316,24.1793,89.9958,90.008,119.9933
373,374,206,80.0,0.5312,0.4688,0.0,9.1811,9.1807,9.1806,90.0043,90.0045,89.9961
374,375,167,30.0,0.6667,0.0833,0.25,5.0243,5.024,13.5733,89.9901,90.0106,120.0015
375,376,206,80.0,0.875,0.0,0.125,9.1479,9.1472,9.1475,90.00200000000002,90.0031,89.9993
376,377,206,80.0,0.0312,0.0,0.9688,10.2496,10.2495,10.2498,90.0004,90.0004,89.9994
377,378,194,80.0,0.2812,0.375,0.3438,6.546,6.5457,24.3292,90.0104,90.0042,119.9928
378,379,206,80.0,0.0,0.5312,0.4688,9.8193,9.8193,9.8191,90.0032,90.0028,89.9957
379,380,167,30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009
380,381,194,80.0,0.8125,0.1875,0.0,6.1279,6.1276,23.4879,90.0142,89.999,120.0047
381,382,227,40.0,0.5,0.4375,0.0625,10.0676,5.7862,14.2862,94.3021,93.6639,30.1434
382,383,167,30.0,0.25,0.75,0.0,4.9979,4.9974,13.5009,89.9966,90.0048,120.0003
383,384,227,40.0,0.3125,0.375,0.3125,6.0776,6.0767,14.3233,90.0169,90.0038,120.0025
384,385,206,80.0,0.1562,0.1875,0.6562,9.9201,9.9199,9.9201,90.0015,90.0016,89.99799999999998
385,386,227,40.0,0.875,0.0,0.125,5.8346,5.8337,14.2095,90.0967,89.1697,120.054
386,387,194,80.0,0.0,0.0625,0.9375,7.0760000000000005,7.0754,25.3057,90.0168,89.9805,119.9843
387,388,33,40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015
388,389,167,30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015
389,390,206,80.0,0.375,0.375,0.25,9.4682,9.4679,9.4679,90.0031,90.0033,89.9967
390,391,167,30.0,0.25,0.0,0.75,5.3867,5.3862,14.3418,89.9956,90.0029,120.0014
391,392,194,80.0,0.8438,0.0,0.1562,6.2349,6.2344,23.6653,90.0093,90.0112,120.0019
392,393,194,80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.591,90.0029,90.0,119.9897
393,394,12,80.0,0.0,0.4688,0.5312,24.7815,6.4664,6.4217,90.0003,105.0881,90.0
394,395,227,40.0,0.0,0.3125,0.6875,6.4043,6.4033,14.939,90.0155,90.0098,120.0014
395,396,33,80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999998,90.0011,90.0007
396,397,206,80.0,0.375,0.4375,0.1875,9.4128,9.4125,9.4124,90.0036,90.0036,89.9963
397,398,227,40.0,0.0,0.1875,0.8125,6.4668,6.4661,15.6092,90.0216,90.0146,119.9949
398,399,33,40.0,0.3125,0.0,0.6875,5.4305,9.2528,9.88,90.0021,89.9985,90.0004
